rank,run_at,trade_date,sample_date,used_sample_date,used_live_bar_date,date_status,feature_status,snapshot_time,cutoff_time,source_used,core_complete,missing_core_fields,requires_price_snapshot,requires_intraday_bars,requires_bid_ask,uses_historical_context,requires_realtime_context,context_status,context_mode,context_snapshot_time,required_context_features,missing_context_features,unsupported_realtime_features,stock_code,artifact_name,entry_policy,entry_vwap_premium_bps,entry_signal,close,daily_vwap,amount,volume,pct_chg,n_intraday_bars,hit_score,threshold,score_margin,signal_raw_score_pass,signal,missing_column_count,missing_feature_count,strict_features,samples,intraday_bars,reject_reason,error
1,2026-05-14T14:54:20,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-14 14:51:19,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,603308.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,all_days,50.0,True,74.8,76.79455401189524,1890354391.0,24615735.0,-0.07080745341614914,482,0.697323739528656,0.30950190126895905,0.38782183825969696,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out/00_base/raw_cache/603308_5m_raw.csv,,
2,2026-05-14T14:54:15,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-14 14:51:19,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,601899.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,all_days,50.0,True,33.62,33.980581343221736,8830615329.0,259872403.0,-0.030005770340450044,482,0.6962630748748779,0.43650429248809813,0.2597587823867798,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out/00_base/raw_cache/601899_5m_raw.csv,,
3,2026-05-14T14:54:06,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-14 14:51:19,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002311.SZ,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,vwap_low,50.0,True,47.55,47.62792653144009,1218746487.36,25588905.0,0.042306006137659,482,0.6784901022911072,0.5425019145011902,0.13598818778991695,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
4,2026-05-14T14:54:07,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,False,not_required,not_required,,,,,002311.SZ,nextday_vwap_low_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,vwap_low,50.0,True,47.55,47.62792653144009,1218746487.36,25588905.0,0.042306006137659,482,0.7310723852746209,0.6155409333972607,0.11553145187736025,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
5,2026-05-14T14:54:05,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,False,not_required,not_required,,,,,002311.SZ,nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,all_days,50.0,True,47.55,47.62792653144009,1218746487.36,25588905.0,0.042306006137659,482,0.765758171514439,0.6645851008948153,0.10117307061962377,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
6,2026-05-14T14:54:08,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-14 14:51:19,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,vwap_low,50.0,True,42.67,43.02132901018375,2441545947.73,56751988.0,0.0068428504011326385,482,0.5434105508996553,0.4614914878625146,0.0819190630371407,True,True,0,2,False,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out/00_base/raw_cache/002714_5m_raw.csv,,
7,2026-05-14T14:54:03,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-14 14:51:19,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002311.SZ,nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1,all_days,50.0,True,47.55,47.62792653144009,1218746487.36,25588905.0,0.042306006137659,482,0.512866925344928,0.4536741122166454,0.05919281312828256,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
8,2026-05-14T14:54:16,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-14 14:51:19,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,vwap_low,50.0,True,33.62,33.980581343221736,8830615329.0,259872403.0,-0.030005770340450044,482,0.5230399999829225,0.46440508707914696,0.05863491290377554,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out/00_base/raw_cache/601899_5m_raw.csv,,
9,2026-05-14T14:54:10,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-14 14:51:19,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,vwap_low,50.0,True,32.36,32.76231945762581,1294912559.0,39524447.0,-0.027644230769230838,482,0.4977831542491913,0.4717293083667755,0.02605384588241577,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/raw_cache/600096_5m_raw.csv,,
10,2026-05-14T14:54:12,2026-05-14,2026-05-14,2026-05-14,2026-05-14,exact_trade_date,live_overlay_partial,2026-05-14 14:51:38,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-14 14:51:19,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,all_days,50.0,True,54.5,55.1753123163127,4880551783.0,88455354.0,-0.024346580737558132,482,0.4939274895923051,0.4767518148075813,0.017175674784723816,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/00_base/raw_cache/600276_5m_raw.csv,,
