run_at,trade_date,sample_date,used_sample_date,used_live_bar_date,date_status,feature_status,snapshot_time,cutoff_time,source_used,core_complete,missing_core_fields,requires_price_snapshot,requires_intraday_bars,requires_bid_ask,uses_historical_context,requires_realtime_context,context_status,context_mode,context_snapshot_time,required_context_features,missing_context_features,unsupported_realtime_features,stock_code,artifact_name,entry_policy,entry_vwap_premium_bps,entry_signal,close,daily_vwap,amount,volume,pct_chg,n_intraday_bars,hit_score,threshold,score_margin,signal_raw_score_pass,signal,missing_column_count,missing_feature_count,strict_features,samples,intraday_bars,reject_reason,error
2026-05-15T14:54:02,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-15 14:51:30,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002270.SZ,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,all_days,50.0,True,24.11,24.291223329157553,591159980.07,24336361.0,-0.031726907630522105,482,0.525079635364924,0.48698807438464276,0.038091560980281214,True,False,0,14,False,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out/00_base/raw_cache/002270_5m_raw.csv,filled_features_gt_5,
2026-05-15T14:54:03,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-15 14:51:30,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002311.SZ,nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1,all_days,50.0,True,47.56,47.60418210730687,583306896.49,12253270.0,-0.0012599748005038824,482,0.4914654209505804,0.4536741122166454,0.03779130873393499,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
2026-05-15T14:54:04,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,False,not_required,not_required,,,,,002311.SZ,nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,all_days,50.0,True,47.56,47.60418210730687,583306896.49,12253270.0,-0.0012599748005038824,482,0.69997836310975,0.6645851008948153,0.03539326221493477,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
2026-05-15T14:54:05,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-15 14:51:30,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002311.SZ,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,vwap_low,50.0,True,47.56,47.60418210730687,583306896.49,12253270.0,-0.0012599748005038824,482,0.6417770981788635,0.5425019145011902,0.0992751836776733,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
2026-05-15T14:54:06,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,False,not_required,not_required,,,,,002311.SZ,nextday_vwap_low_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,vwap_low,50.0,True,47.56,47.60418210730687,583306896.49,12253270.0,-0.0012599748005038824,482,0.6520234755268409,0.6155409333972607,0.03648254212958024,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
2026-05-15T14:54:07,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-15 14:51:30,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,vwap_low,50.0,True,42.47,42.51160807654384,1853124442.92,43591022.0,-0.0037532254281024136,482,0.5101425579850278,0.4614914878625146,0.04865107012251324,True,True,0,2,False,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out/00_base/raw_cache/002714_5m_raw.csv,,
2026-05-15T14:54:08,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-15 14:51:30,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,all_days,50.0,True,32.44,32.672484349791496,1307957113.0,40032374.0,0.0030921459492885273,482,0.5196145176887512,0.4716151773929596,0.047999340295791615,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/raw_cache/600096_5m_raw.csv,,
2026-05-15T14:54:09,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,False,not_required,not_required,,,,,600096.SH,nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,all_days,50.0,True,32.44,32.672484349791496,1307957113.0,40032374.0,0.0030921459492885273,482,0.49770766496658325,0.5807473361492156,-0.08303967118263234,False,False,0,0,False,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/raw_cache/600096_5m_raw.csv,score_below_threshold,
2026-05-15T14:54:10,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-15 14:51:30,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,vwap_low,50.0,True,32.44,32.672484349791496,1307957113.0,40032374.0,0.0030921459492885273,482,0.621367335319519,0.4717293083667755,0.14963802695274353,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/raw_cache/600096_5m_raw.csv,,
2026-05-15T14:54:11,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-15 14:51:30,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,all_days,50.0,True,53.92,54.503609274311216,4058707736.0,74466770.0,-0.007363770250368162,482,0.49386545864086673,0.4767518148075813,0.017113643833285452,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/00_base/raw_cache/600276_5m_raw.csv,,
2026-05-15T14:54:12,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-15 14:51:30,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,600312.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,all_days,50.0,True,21.57,21.677668465434103,745993800.0,34413009.0,-0.029689608636977116,482,0.571625828742981,0.48655157685279854,0.08507425189018242,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/00_base/raw_cache/600312_5m_raw.csv,,
2026-05-15T14:54:13,2026-05-15,2026-05-15,2026-05-15,2026-05-15,exact_trade_date,live_overlay_partial,2026-05-15 14:51:39,14:55,sina,True,,True,True,False,True,False,not_required,not_required,,,,,600312.SH,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,all_days,50.0,True,21.57,21.677668465434103,745993800.0,34413009.0,-0.029689608636977116,482,0.5092785358428955,0.4884474158287048,0.020831120014190685,True,True,0,0,False,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/00_base/raw_cache/600312_5m_raw.csv,,
