date,open,high,low,close,volume,event_flag,no_price_limit_flag,ema20,ema60,atr14,atrp14,rsi14,rvol20,close_pos,b10_prev,r5,resistance,obv,obv_ma20,obv_std20,bench_close,bench_ret5,ret5,rs5,x1_price_vs_ema20,x2_ema20_vs_ema60,x3_break_b10,x4_close_pos,x5_log_rvol20,x6_obv_z,x7_rs5,x8_atrp_rank,z_x1_price_vs_ema20,z_x2_ema20_vs_ema60,z_x3_break_b10,z_x4_close_pos,z_x5_log_rvol20,z_x6_obv_z,z_x7_rs5,z_x8_atrp_rank,label_rev,p_rev,cv_best_l2,cv_logloss,cv_folds_used,train_n,coef_intercept,coef_z_x1_price_vs_ema20,coef_z_x2_ema20_vs_ema60,coef_z_x3_break_b10,coef_z_x4_close_pos,coef_z_x5_log_rvol20,coef_z_x6_obv_z,coef_z_x7_rs5,coef_z_x8_atrp_rank,atrp14_med60,price_limit_ratio,daily_vwap_pv,daily_vwap_volume,n_intraday_bars,daily_vwap,next_date,next_day_vwap,next_day_close,next_day_high,next_day_low,next_day_vwap_ret_close,next_day_vwap_ret_vwap,next_day_close_ret_close,close_fund,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,fund_days_since_effective,ak_fund_收盘价,ak_fund_涨跌幅,ak_fund_主力净流入-净额,ak_fund_主力净流入-净占比,ak_fund_超大单净流入-净额,ak_fund_超大单净流入-净占比,ak_fund_大单净流入-净额,ak_fund_大单净流入-净占比,ak_fund_中单净流入-净额,ak_fund_中单净流入-净占比,ak_fund_小单净流入-净额,ak_fund_小单净流入-净占比,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q,dupont_dupontROE_chg4q,dupont_dupontAssetStoEquity_chg4q,dupont_dupontAssetTurn_chg4q,dupont_dupontPnitoni_chg4q,dupont_dupontNitogr_chg4q,dupont_dupontTaxBurden_chg4q,dupont_dupontIntburden_chg4q,dupont_dupontEbittogr_chg4q,ak_fund_收盘价_sum5,ak_fund_收盘价_sum10,ak_fund_涨跌幅_sum5,ak_fund_涨跌幅_sum10,ak_fund_主力净流入-净额_sum5,ak_fund_主力净流入-净额_sum10,ak_fund_主力净流入-净占比_sum5,ak_fund_主力净流入-净占比_sum10,ak_fund_超大单净流入-净额_sum5,ak_fund_超大单净流入-净额_sum10,ak_fund_超大单净流入-净占比_sum5,ak_fund_超大单净流入-净占比_sum10,ak_fund_大单净流入-净额_sum5,ak_fund_大单净流入-净额_sum10,ak_fund_大单净流入-净占比_sum5,ak_fund_大单净流入-净占比_sum10,ak_fund_中单净流入-净额_sum5,ak_fund_中单净流入-净额_sum10,ak_fund_中单净流入-净占比_sum5,ak_fund_中单净流入-净占比_sum10,ak_fund_小单净流入-净额_sum5,ak_fund_小单净流入-净额_sum10,ak_fund_小单净流入-净占比_sum5,ak_fund_小单净流入-净占比_sum10,sector_open,sector_high,sector_low,sector_close,sector_volume,sector_amount,sector_ret1,sector_ret5,sector_ret20,sector_ret60,sector_ma20_gap,sector_ma60_gap,sector_vol20,sector_range_pct,sector_range_z20,sector_volume_shock20,sector_volume_z20,sector_amount_shock20,sector_amount_z20,sector_vs_bench_ret5,stock_vs_sector_ret1,stock_vs_sector_ret5,stock_vs_sector_ret20
2020-01-02,15.56103354,15.73931052,15.37426718,15.60348044,58251772.0,0.0,0.0,15.14979725542312,14.251847628955266,0.5821289142857141,0.0373076325198172,60.22711890105263,0.9664514651282872,0.6279069767424661,16.20622642,15.73931052,15.73931052,2236775933.0,2180199594.25,86115842.61554462,4152.24,0.0404355745255353,0.0165929203539823,-0.023842654171553,0.7793517439909001,1.5425271008366197,-1.035416666664888,0.6279069767424661,-0.0341241987407818,0.6569794480509153,-0.023842654171553,0.475,0.1093483581982731,1.000438098429319,0.1789792720711231,0.3919413114248775,0.1153412973480191,-0.6576188974775488,-0.7724903878203014,-0.1566719502970826,0.0,,,,,,,,,,,,,,,0.0369966082002174,0.1,1070536096.0,58251772,48,18.37774301526828,2020-01-03,18.24246446258173,15.46765036,15.82420432,15.3233309,0.1691279091693294,-0.0073609992573164,-0.0087051142546246,15.60348044,21.056507,4.526736,0.887161,55.870253,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5559.237,5719.518,5536.876,5710.867,1567058400,30777927000.0,,,,,,,,0.032986471071412726,,,,,,,,,
2020-01-03,15.69686362,15.82420432,15.3233309,15.46765036,46561908.0,0.0,0.0,15.18006897966854,14.291710013579683,0.5433203199999997,0.0351262349066936,57.648117977238456,0.7750587660357089,0.2881355932197643,16.01946006,15.82420432,15.82420432,2190214025.0,2184979841.75,83855919.1417761,4144.964,0.0295522563783736,0.0122222222222221,-0.0173300341561515,0.5293035613520447,1.6350556630888031,-1.0156249999981308,0.2881355932197643,-0.2548164253606723,0.0624187690453969,-0.0173300341561515,0.275,-0.176547875860738,1.1026858252250438,0.1896824505057591,-0.8879753508246276,-0.4539741554516606,-1.354461689302631,-0.6347038900882144,-1.175934703716216,0.0,,,,,,,,,,,,,,,0.0369637661505229,0.1,849403952.0,46561908,48,18.24246446258173,2020-01-06,17.92212716107313,15.1959902,15.39124594,15.0262026,0.1586845282862425,-0.0175599794734786,-0.0175631174533479,15.46765036,20.873207,4.487331,0.879438,55.383896,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5723.84,5777.497,5697.913,5741.127,1411110000,27861666000.0,0.005298670061831379,,,,,,,0.013967219225706096,,,,,,,-0.014003784316455992,,
2020-01-06,15.28937338,15.39124594,15.0262026,15.1959902,56504682.0,0.0,0.0,15.181585286366772,14.321358544281988,0.5336181714285713,0.0351157222665579,52.78018082820903,0.937706058612186,0.4651162790684968,15.82420432,15.82420432,15.82420432,2133709343.0,2189576998.95,78208740.87599184,4129.295,0.0266701342382833,0.0222729868646487,-0.0043971473736346,0.0269947959130355,1.6120641839842582,-1.1772727272705197,0.4651162790684968,-0.0643187494361423,-0.7143403067770115,-0.0043971473736346,0.2666666666666666,-0.7403624859866126,1.0662046181979206,0.0097697513552074,-0.2267745934336652,0.0194067399074671,-2.218789222842992,-0.3595725783119429,-1.2151677256872555,0.0,,,,,,,,,,,,,,,0.0369150820596991,0.1,1012684096.0,56504682,48,17.92212716107313,2020-01-07,17.770101176397066,15.16203268,15.22994772,14.95828756,0.1693940929494062,-0.0084825859848972,-0.0022346368715084,15.1959902,20.506609,4.408519,0.863993,54.411182,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5682.851,5858.767,5655.883,5817.027,1763298700,32513249000.0,0.013220400802838927,,,,,,,0.03587132194919884,,,,,,,-0.03078351825618686,,
2020-01-07,15.21296896,15.22994772,14.95828756,15.16203268,50276647.0,0.0,0.0,15.17972313337946,14.348921630698973,0.5160330271428569,0.0340345544712823,52.1869598199543,0.8727020480182813,0.749999999997236,15.82420432,15.82420432,15.82420432,2083432696.0,2186498398.35,81062479.38574426,4160.227,0.01925552836328,0.0147727272727271,-0.0044828010905528,-0.0342816301456036,1.6099773831896305,-1.2831962397154937,0.749999999997236,-0.1361610780546747,-1.271435356172009,-0.0044828010905528,0.1583333333333333,-0.8065611343358289,1.0551320740334895,-0.1116927339149135,0.8488020513838146,-0.1791537843633199,-2.75885321218736,-0.3619611853955835,-1.7455021141515532,0.0,,,,,,,,,,,,,,,0.0366621572864927,0.1,893421104.0,50276647,48,17.770101176397066,2020-01-08,17.50592050339684,14.87339376,15.04318136,14.73756368,0.154589287126958,-0.0148665823777706,-0.0190369540873459,15.16203268,20.460784,4.398668,0.862062,54.289593,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5805.093,5845.182,5779.897,5845.182,1479620300,27478886000.0,0.004840101309483202,,,,,,,0.011295183979922019,,,,,,,-0.007074738180991691,,
2020-01-08,14.95828756,15.04318136,14.73756368,14.87339376,50746445.0,0.0,0.0,15.150548907343325,14.366117438217035,0.5233096385714283,0.0351842791911261,47.318615496541724,0.8810946126485272,0.4444444444429941,15.82420432,15.82420432,15.82420432,2032686251.0,2178329604.0,87651194.74854793,4112.317,0.0038410069662953,-0.0410509031198685,-0.0448919100861638,-0.5296198023399536,1.4989815040789034,-1.8169177288493656,0.4444444444429941,-0.1265902664755215,-1.661624275833534,-0.0448919100861638,0.2833333333333333,-1.3497786991751797,0.9040819308446506,-0.6852240605206167,-0.295527802354567,-0.1528343968877244,-3.059516735846116,-1.2123961971841843,-1.1027987550416307,1.0,,,,,,,,,,,,,,,0.0363956842217687,0.1,888363232.0,50746445,48,17.50592050339684,2020-01-09,18.10930156886885,15.5355654,15.5780123,14.9837557,0.2175635138209946,0.0344672572547632,0.0445205479452053,14.87339376,20.071273,4.31493,0.845651,53.256085,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,68,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5796.337,5880.997,5747.25,5764.087,1559251300,27197672000.0,-0.013873819497835838,,,,,,,0.023271477663230344,,,,,,,-0.005163134589510121,,
2020-01-09,14.9837557,15.5780123,14.9837557,15.5355654,78983020.0,0.0,0.0,15.187217144739195,14.404459994341067,0.5081500314285713,0.0327088212334092,57.18606299261423,1.3340642908614726,0.9285714285698664,15.82420432,15.82420432,15.82420432,2111669271.0,2171770843.6,87485919.71188009,4164.369,0.0029210739263625,-0.0043525571273123,-0.0072736310536748,0.6855224514712696,1.5404055928049636,-0.568019093077642,0.9285714285698664,0.288230140381216,-0.6869856634980138,-0.0072736310536748,0.125,0.0019838751956729,0.9486783705708968,0.6376546040615554,1.5135717443768952,0.9013113458003108,-1.9618110844236007,-0.4112242618218439,-1.8623931473218407,0.0,,,,,,,,,,,,,,,0.0363582458410019,0.1,1430327328.0,78983020,48,18.10930156886885,2020-01-10,18.137171742178623,15.30635214,15.78175742,15.2384371,0.1674613234339463,0.0015389976915334,-0.0147540983606557,15.5355654,20.964857,4.507033,0.8833,55.627075,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,69,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5833.607,5911.524,5833.607,5911.524,1538374500,29364724000.0,0.02557855216272764,0.03513599598799977,,,,,,0.013356573385900017,,,,,,0.03221492206163727,0.018941995782477683,-0.039488553115312075,
2020-01-10,15.62894858,15.78175742,15.2384371,15.30635214,37985462.0,0.0,0.0,15.198563334764035,14.434030228624966,0.511788337142857,0.033436336264953,53.45373706201986,0.6448513737689029,0.1249999999997683,15.82420432,15.78175742,15.78175742,2073683809.0,2165511128.35,89771461.08439246,4163.184,0.0043956955959087,-0.0104281009879254,-0.0148237965838342,0.2106120781053796,1.4938462849812246,-1.0118483412302512,0.1249999999997683,-0.4387354170043032,-1.022901022672169,-0.0148237965838342,0.15,-0.530886801383702,0.877536758012874,0.1547719079360592,-1.487839494094755,-0.972413168236586,-2.264895729660339,-0.5684760090150001,-1.706559219911899,1.0,,,,,,,,,,,,,,,0.0363310059618186,0.1,688948848.0,37985462,48,18.137171742178623,2020-01-13,18.347337398276785,15.79873618,15.8751406,15.08562826,0.1986747221325056,0.0115875649790209,0.0321686078757625,15.30635214,20.655539,4.440536,0.870267,54.806347,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,70,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5921.603,5951.235,5873.443,5922.675,1465120000,27409047000.0,0.0018863156099848677,0.03162236264761242,,,,,,0.013244701617092236,,,,,,0.027226667051703724,-0.016640413970640644,-0.04205046363553788,
2020-01-13,15.29786276,15.8751406,15.08562826,15.79873618,65030999.0,0.0,0.0,15.255722653357935,14.478774686047098,0.537256477142857,0.0340062946188663,59.55968144938815,1.1566578081580894,0.9032258064504696,15.82420432,15.8751406,15.8751406,2138714808.0,2156568846.7,82818496.0589528,4203.988,0.0180885599115587,0.0396648044692737,0.021576244557715,1.0107156446559973,1.4461397867946075,-0.0474040632053279,0.9032258064504696,0.1455346466083818,-0.215580329873302,0.021576244557715,0.175,0.3543377883265998,0.8036630311847454,1.1733753201977064,1.4100818536063655,0.5260303237989808,-1.4043583503263108,0.1975348934074904,-1.5529498756326816,0.0,,,,,,,,,,,,,,,0.0362520454931365,0.1,1193145680.0,65030999,48,18.347337398276785,2020-01-14,18.59630788863458,15.61196982,15.98550254,15.58650168,0.1770756645823412,0.0135698431305451,-0.0118216012896292,15.79873618,21.319999,4.583382,0.898263,56.569391,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,73,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5924.716,6076.939,5905.671,6076.939,1514624500,30393299000.0,0.026046338858708218,0.04468124352869607,,,,,,0.029000599593170806,,,,,,0.026592683617137368,0.006122269017054371,-0.005016439059422284,
2020-01-14,15.8326937,15.98550254,15.58650168,15.61196982,46355969.0,0.0,0.0,15.289650954942896,14.515928624865223,0.5123947214285713,0.0328206323312338,56.53046733077843,0.8388221162431603,0.0638297872338848,15.8751406,15.98550254,15.98550254,2092358839.0,2142030941.6,65478980.65535067,4189.886,0.0071291782876272,0.0296752519596865,0.0225460736720592,0.6290440778894851,1.5100122966118794,-0.5136094674546179,0.0638297872338848,-0.1757566137745901,-0.7585961495254417,0.0225460736720592,0.125,-0.0893938771590514,0.8856726861515192,0.6586450218146396,-1.7179081909077845,-0.3180469622883417,-1.9439662276313427,0.2104356573141996,-1.7745583355848618,1.0,,,,,,,,,,,,,,,0.0361021897406787,0.1,862049872.0,46355969,48,18.59630788863458,2020-01-15,18.56500478674308,15.8751406,15.94305564,15.5355654,0.1891519776678047,-0.001683296602689,0.0168569874932027,15.61196982,21.067963,4.529199,0.887644,55.90065,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,74,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,6109.877,6120.884,6036.722,6040.426,1365649600,28137032000.0,-0.006008452610763437,0.033402552734884905,,,,,,0.013941672318188658,,,,,,0.026273374447257705,-0.005813148678865843,-0.003727300775198339,
2020-01-15,15.5780123,15.94305564,15.5355654,15.8751406,40945377.0,0.0,0.0,15.345411873519764,14.560492951918825,0.5093627999999999,0.0320855614973241,59.645038370790985,0.7649658677969408,0.8333333333312869,15.98550254,15.98550254,15.98550254,2133304216.0,2133324987.15,53364588.99130876,4166.734,0.0132326860988587,0.0673515981735159,0.0541189120746572,1.039983144586131,1.54098203009603,-0.2166666666662426,0.8333333333312869,-0.2679240634098817,-0.000389230956196,0.0541189120746572,0.075,0.3662419594384218,0.9260457822521952,0.963372292275986,1.1252322940021189,-0.5693915360043232,-1.156995104484155,0.8711130761654537,-1.981288190419976,0.0,,,,,,,,,,,,,,,0.0359297632889035,0.1,760151120.0,40945377,48,18.56500478674308,2020-01-16,18.561527544282043,15.62894858,16.01946006,15.61196982,0.1692197261095152,-0.0001873009191746,-0.0155080213903743,15.8751406,21.423105,4.605548,0.902607,56.842967,2019-10-31,2019-09-30,0.133212,0.036387,0.074315,10184524000.0,0.873345,,19844483574.0,1608772023.0,True,2019-11-01,3.296523,81.904476,6.115625,44.149205,1.456892,1.383048,0.237388,-0.013594,0.043669,-0.018868,0.043948,1.577626,1.193878,0.486188,-0.129104,0.604863,2.53077,0.951804,0.048196,0.385364,,0.010144,0.278772,0.010144,0.133212,2.646968,1.383048,1.000032,0.036387,0.898428,1.053963,0.038427,75,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,6014.824,6073.02,5984.128,6065.558,1272290080,24787280000.0,0.004160633703649275,0.05230160474677081,,,,,,0.014854628777994261,,,,,,0.039068918647912114,0.012696353789553472,0.015049993426745178,
