,median
prev_close,9.21063723
overnight_ret,0.0
intraday_ret,0.0
close_to_vwap,-0.039595938330306835
open_to_vwap,-0.038033374640490725
high_to_close,0.014599290827710498
close_to_low,0.012255893145117991
high_to_open,0.013366006455224344
low_to_open,-0.01262163633225799
range_pct,0.03162382203987435
close_range_pos,0.46666666666666157
upper_shadow_pct,0.007258854444617047
lower_shadow_pct,0.006469173691517671
volume_shock20,-0.12256298144949357
volume_z20,-0.2884449844555619
daily_vwap_volume_shock20,-0.12298463085275829
daily_vwap_volume_z20,-0.2890674870966408
daily_vwap_pv_shock20,-0.12003277891991487
daily_vwap_pv_z20,-0.27857892152123714
range_pct_shock20,-0.1066495080297874
range_pct_z20,-0.2497689107113799
intraday_ret_shock20,-0.8980125808948605
intraday_ret_z20,-0.043066957014695144
overnight_intraday_reversal,0.0
overnight_plus_intraday,0.0
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,-0.0006235810033278777
first_60m_ret,-0.0006277503484546365
morning_ret,0.0
afternoon_ret,-0.0005709961968359822
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,9.67340636767258
afternoon_vwap,9.638885859496527
last_30m_vwap,9.652014014352716
first_60m_volume_share,0.40569630273758994
last_30m_volume_share,0.12278342325821782
morning_vwap_to_close,-0.038482862536192985
afternoon_vwap_to_close,-0.039985719715833645
last_30m_vwap_to_close,-0.04055541838481941
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,39.973481
pbMRQ,1.422301
psTTM,1.361698
pcfNcfTTM,14.905691000000001
profit_roeAvg,0.019337
profit_npMargin,0.040738
profit_gpMargin,0.185198
profit_netProfit,249682011.1
profit_epsTTM,0.237743
profit_totalShare,1356921309.0
profit_liqaShare,1356921309.0
operation_NRTurnRatio,0.572773
operation_NRTurnDays,295.342392
operation_INVTurnRatio,1.916552
operation_INVTurnDays,114.635078
operation_CATurnRatio,0.339746
operation_AssetTurnRatio,0.255527
growth_YOYEquity,0.03142
growth_YOYAsset,0.002035
growth_YOYNI,0.481531
growth_YOYEPSBasic,0.551462
growth_YOYPNI,0.551331
solvency_currentRatio,1.471804
solvency_quickRatio,1.233825
solvency_cashRatio,0.282164
solvency_YOYLiability,-0.007357
solvency_liabilityToAsset,0.479671
solvency_assetToEquity,1.970397
cashflow_CAToAsset,0.70239
cashflow_NCAToAsset,0.29761
cashflow_tangibleAssetToAsset,0.41364
cashflow_CFOToOR,0.006665
cashflow_CFOToNP,0.216304
cashflow_CFOToGr,0.006665
dupont_dupontROE,0.019337
dupont_dupontAssetStoEquity,2.055235
dupont_dupontAssetTurn,0.255527
dupont_dupontPnitoni,0.926511
dupont_dupontNitogr,0.040738
dupont_dupontTaxBurden,0.847779
dupont_dupontIntburden,1.042687
dupont_dupontEbittogr,0.048574
fund_days_since_effective,64.0
peTTM_rank252,0.3412698412698413
pbMRQ_rank252,0.6329365079365079
psTTM_rank252,0.6546052631578947
pcfNcfTTM_rank252,0.6111111111111112
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.00036885474693555003
bench_ret20,-0.0020461758808420494
bench_ret60,-0.0022704876515153294
bench_ma20_gap,-0.0011490088238927942
bench_ma60_gap,-0.00014434667519575006
bench_vol20,0.009695816909418137
stock_ret20,0.009183624293683135
stock_ret60,0.03354041858888401
stock_ma20_gap,0.00043385015341657063
stock_ma60_gap,0.01867519508711024
stock_vol20,0.023063151069052355
regime_market_ok,1.0
regime_market_strict,1.0
